LDGS_NM,AFRM_KWRD_CN,AFRM_WGHTVAL_SCORE,NEGA_KWRD_CN,NEGA_WGHTVAL_SCORE
라한호텔 전주,"['온도', '주차', '주차장', '편의점', '청결']","[0.30763375758082734, 0.29395231261720883, 0.27029331206616697, 0.24602066728478428, 0.2406531628196638]","['직원', '조식', '위치', '깨끗', '이용한']","[-0.5401128805429443, -0.48938101344530754, -0.48559956857616476, -0.3635833252609033, -0.3104856139067597]"
엔브릿지 호텔,"['숙박', '샐러드', '사용', '기분', '조식']","[0.35618962029567564, 0.344585564080214, 0.33619185668901, 0.2904632325149814, 0.2760218754564778]","['스파', '서비스', '화장실', '침대', '모텔']","[-0.5761492967671772, -0.4827259106387221, -0.4596497076133068, -0.4321972623022285, -0.39759817617158855]"
베니키아아리울,"['청결', '객실', '별거', '준비', '지대']","[0.45757328490349364, 0.37529616002626853, 0.3544075306798528, 0.31242590569826567, 0.24697062163459602]","['위치', '시내', '관광', '아침', '가격']","[-0.8619468104611261, -0.5772009750520031, -0.3992727403338543, -0.38638568313600474, -0.37489522426840444]"
라마다제주시티,"['가격', '깔끔', '여행', '시내', '맛집']","[0.9233482014576359, 0.9068760175283682, 0.6666068751179351, 0.6652734772513507, 0.5091566093646801]","['위치', '조식', '깨끗', '편안', '직원']","[-1.1909741893357186, -0.9885433042170536, -0.8542406233042955, -0.6972057117304642, -0.643030886306592]"
라마다제주함덕,"['가격', '에어컨', '이불', '도움', '해수욕장']","[0.6657590604684523, 0.4811216235773966, 0.4060656705942285, 0.36576111008068757, 0.3591196289289757]","['해변', '깔끔', '서비스', '친절', '깨끗']","[-1.2637004368020135, -1.073947098034736, -1.0671859030089113, -0.9880675706608869, -0.832475046034556]"
호텔 케니 서귀포,"['깔끔', '주차', '여행', '위생', '공영']","[0.7402209778727993, 0.7183788437562366, 0.6950904834902675, 0.5880651077636827, 0.575154166096563]","['조식', '객실', '화장실', '직원', '시장']","[-1.3983241133283115, -1.3386825659634607, -0.8841217444086662, -0.7215246675249135, -0.6951483386667554]"
호텔 케니 여수,"['야경', '택시', '시설', '여행', '관광지']","[0.520490378378814, 0.37259764321595057, 0.32373009090540067, 0.2942702925222807, 0.2884174415331249]","['위치', '주차장', '화장실', '깨끗', '냄새']","[-0.8864479450240423, -0.8562779478326694, -0.6947029900771993, -0.6938375665391217, -0.6159710045862644]"
켄트호텔 광안리 바이 켄싱턴,"['깨끗', '파티', '라운지', '전망', '깔끔']","[3.881208128887388, 2.423651566569226, 1.7505346367492434, 1.3617191721395858, 1.3422769228728126]","['위치', '컨디션', '조식', '광안리', '전화']","[-2.7610248481104747, -2.5861205885369456, -1.746896763823435, -1.2375395108828995, -1.2234732167752393]"
에이큐브 호텔,"['커튼', '청결', '친절', '여행', '서비스']","[0.4824594278280048, 0.3641753022431998, 0.32816473515397665, 0.24734065594122162, 0.22451723382445266]","['가격', '위치', '객실', '광장시장', '거리']","[-0.9788135876715401, -0.7485864172305781, -0.6791103490830283, -0.3753272166486418, -0.35128692274625267]"
코트야드 메리어트 남대문호텔,"['패키지', '매트리스', '와인', '과일', '선택']","[0.6024249877573945, 0.2901480162661942, 0.28531837251194964, 0.2569982343199681, 0.25314543173537823]","['라운지', '조식', '직원', '주차', '위치']","[-0.6140217352118441, -0.5050612263259547, -0.4194535603767186, -0.3715400678281947, -0.29769723076985627]"
G2 호텔,"['루프', '기회', '주차', '조용', '처음']","[0.6074240842386601, 0.4175727942913273, 0.2712866793253519, 0.2669909653155621, 0.19748523997549253]","['컨디션', '전반', '숙박', '편안', '여행']","[-0.41435365239530136, -0.3632413130883468, -0.31810703688406516, -0.2853099568263419, -0.2804681467487963]"
임피리얼 팰리스 부띠끄 호텔,"['친절', '직원', '깨끗', '이태원', '창문']","[1.2662338606906305, 0.9251174019328425, 0.8153935905708335, 0.5207804128631153, 0.4920052875718846]","['숙박', '객실', '소음', '서비스', '거리']","[-1.2632962044869678, -1.175222969377237, -0.7806326367883802, -0.7122191266663017, -0.6111462380432983]"
호텔 더 디자이너스 서울역,"['깨끗', '객실', '업그레이드', '거울', '머리카락']","[1.0453473184534208, 0.7000845682443917, 0.6902644675667443, 0.6725878975538356, 0.6434662676461985]","['위치', '조식', '침대', '아침', '방음']","[-1.7193280153173442, -1.2126915237380478, -0.8843956464081209, -0.7932962113257535, -0.719393774093391]"
호텔 포코(POCO),"['객실', '직원', '주차', '사진', '접근성']","[0.6672595119170145, 0.5041740094016282, 0.4884901253805121, 0.448132186557463, 0.3953100479676293]","['위치', '소음', '소리', '욕실', '지하철']","[-1.4126580072957557, -0.41343436297572606, -0.37042722349792206, -0.28664410775045945, -0.2572123554636782]"
스위스그랜드호텔,"['시설', '뷔페', '사람', '친절', '수영장']","[0.6640788705718457, 0.5935688226209674, 0.40238982528074446, 0.3993473979828237, 0.3711160414311547]","['직원', '가격', '먼지', '객실', '성급']","[-0.7314092909920125, -0.4786784351182802, -0.44479114766278566, -0.4362312981487278, -0.39067248052496484]"
